,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_chor_e_m,-0.01475552271801129,-0.002018295524939427,-0.003604933567123522,-0.03437999999938665,-0.03437999999987811,-0.034379999999004346,-0.022899575464387822,-0.034379999964831494,-0.0343800000387074
EX_mg2_e_m,-0.004562072443316849,-0.004694127400459728,-0.0046738448362668,-0.004762570935414032,-0.004780044186578756,-0.004484170035753225,-0.004713194469524247,-0.004644745601851826,-0.004617193233677313
EX_mn2_e_m,-0.000363388133530546,-0.00037284486081720067,-0.00037166650224387034,-0.0003793618496201608,-0.0003807617751357482,-0.00035718399728374746,-0.00037542563426751414,-0.00036927349048996926,-0.0003650364892099578
EX_cobalt2_e_m,-5.25887331836989e-05,-5.411105059915439e-05,-5.3876929109359867e-05,-5.489985029188735e-05,-5.5101391548986186e-05,-5.169071211960706e-05,-5.43307720555692e-05,-5.3541420957506864e-05,-5.322412810471441e-05
EX_zn2_e_m,-0.00017932757433844498,-0.0001842013582456837,-0.00018272324064167556,-0.00018649791334854758,-0.00018767724994879582,-0.00017608558927961028,-0.00018526793205047621,-0.00018257628908153667,-0.00018149424164185245
EX_succ_e_m,14.540326820579741,0.15736956070812402,0.1335371243995229,10.927092183859541,11.107305231158321,8.151671973275038,24.847936325477548,4.331951712618684,9.54863739697355
EX_for_e_m,12.094515604309699,0.02848621206003005,-0.0011636529618692245,-0.0069329205836181195,-0.03437999999783502,7.370235476036188,20.97109896668789,3.0315157328138027,13.129360209152004
EX_co2_e_m,244.021682169725,23.858812075958987,18.12027248642175,10.803837529494343,10.867403050969308,24.147471525320114,195.29500081433105,27.885477367298044,35.86444204196543
EX_crn_e_m,-1.4724602239987092e-14,-2.52209863369869e-13,-9.541941726257808e-14,-3.215607775384805e-13,1.797251542314401e-14,2.060063836604043e-15,9.095881025864192e-13,-6.353226325518755e-13,1.131095351890897e-12
EX_cu2_e_m,-0.0003728541023745829,-0.0003832547681293645,-0.00038196744774912953,-0.00038926589445653685,-0.00039065499769562484,-0.0003664869503835996,-0.00038520510876190504,-0.0003796026954400841,-0.00037560523962776267
EX_o2_e_m,2.690562082932751e-10,3.773438843389798e-14,7.497106700016257e-14,5.375839841564729e-14,2.807931399421928e-15,1.3707704559341876e-13,4.684264528384083e-06,4.127729749873667e-13,7.201594105265531e-14
